Datei;Beweis-ID;BK-Index;Beweisfrage;Quelle;Prüfstatus;Offene Gegenprüfung
bk.py;B-07/B-08/B-09;BK-1/BK-5;Ist der Rechenweg reproduzierbar?;Nutzerbereitgestelltes Python-Skript;Skript vorhanden, Ausführung offen;Quelldatei, Eingaben, Ausgabe und manuelle Kontrollrechnung
DRUCK_Pruefbericht_mit_Jobcenter_Aufforderung.html;B-06–B-10;BK-1/BK-5;Welche Aufforderungen und Prüfthesen wurden druckfähig zusammengefasst?;Nutzer-/Aktenangabe;Druckfassung, Quellenprüfung offen;Originalseiten, Rechtsquellen und Aktenzeichen prüfen
DRUCK_Nur_Jobcenter_Aufforderung.html;B-10;BK-1/BK-5;Welche konkrete Prüfung wird vom Jobcenter verlangt?;Nutzer-/Aktenangabe;Entwurf;Adressat, Aktenzeichen, Frist und Eingangsbestätigung ergänzen
systematische-verknupfung-von-nachweiskette-und-beweislogik.docx;B-01–B-10;BK-1/BK-5;Wie werden Nachweiskette und Beweislogik verbunden?;Nutzer-/Aktenangabe;Grundlagenentwurf;Versionsstand und Primärquellen prüfen
Sammelmappe_Verteidigung_Widerklage_Schade_final.docx;B-01–B-10;BK-1/BK-5;Welche Sachverhalts- und Antragsdarstellung bildet die Ausgangsbasis?;Nutzer-/Aktenangabe;Ausgangsentwurf;Vollständigkeit, Belegverweise und aktuelle Verfahrensdaten prüfen
01_TECHNISCHE_FEHLERKETTE.pdf;B-02/B-04/B-05/B-06;BK-1;Welche technische Fehlerkette wird als Anlage vorgelegt?;Nutzer-/Aktenangabe;Anlage laut Bestand, Hash offen;PDF-Seiten mit Fotos, Protokollen und Messdaten verknüpfen
Foto-Feststellungen_und_Nachweiszuordnung...5.pdf;B-02/B-04/B-06;MED/BK-1-YYYY-F-NNN;Was ist auf den Fotos objektiv erkennbar?;Nutzer-/Aktenangabe;Anlage laut Bestand, Medienregister offen;Originaldateien, Metadaten, Bildnummern und alternative Erklärung
Video-Feststellungen und Nachweiszuordnung.pdf;B-02/B-04/B-06;MED/BK-1-YYYY-V-NNN;Welche Beobachtung ist im Video dokumentiert?;Nutzer-/Aktenangabe;Anlage laut Bestand, technische Aussagekraft offen;Originalvideos, Hash, Zeitstempel und fachkundige Prüfung
Fotos/;B-02/B-04/B-06;MED/BK-1-YYYY-F-NNN;Welche Bildbeobachtungen sind vorhanden?;https://github.com/diewand-hue/Nachweise-/tree/main/Fotos;Archivpfad aus Nutzerangabe, Dateiliste hier nicht abrufbar;Dateien einzeln inventarisieren, SHA-256/EXIF und commitgebundene Links erfassen
Videos/;B-02/B-04/B-06;MED/BK-1-YYYY-V-NNN;Welche Videoaufzeichnungen sind vorhanden?;https://github.com/diewand-hue/Nachweise-/tree/main/Videos;Archivpfad aus Nutzerangabe, Dateiliste hier nicht abrufbar;Dateien einzeln inventarisieren, SHA-256/Metadaten und commitgebundene Links erfassen
DATEI_REGISTER.csv;B-01–B-10;BK-1/BK-5/MED;Welche Datei ist mit welchem Status und Prüfbedarf erfasst?;./DATEI_REGISTER.csv;Register vorhanden, Hashwerte teilweise NICHT_ERFASST;Platzhalter durch berechnete SHA-256 ersetzen
00_Deckblatt.md;--;--;Welche Mappe und welcher Prüfzweck werden bezeichnet?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Arbeitsdokument;Logo erst nach Bilddatei einbinden und als privat kennzeichnen
01_Akten_und_Sachstandsuebersicht.md;B-01–B-10;BK-1/BK-5;Welcher Sachstand und welche Rollen sind bekannt?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Arbeitsübersicht;Mit Originalakten und aktuellen Bescheiden abgleichen
02_Anschreiben_und_Pruefauftrag.md;B-10;BK-1/BK-5;Welche Prüfung wird beantragt?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Entwurf;Adresse, BG-/Aktenzeichen, Frist und Anlagenliste ausfüllen
03_Beweisverzeichnis_und_Register.md;B-01–B-10;BK-1/BK-5;Welche Beweisfragen und Quellen sind registriert?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Register;Seitenzahlen, Hashes und Originallinks ergänzen
04_Technische_Fehlerkette.md;B-02/B-04/B-05/B-06;BK-1;Wie wird die technische Auswertung eingeordnet?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Verweisdatei;Mit Originalnachweisen und Gutachten verbinden
05_Fotos_und_Videos.md;B-02/B-04/B-06;MED;Wie werden Medien integritätsorientiert geführt?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Medienregister;Dateiliste aus Primärarchiv eintragen
06_Nachweiszuordnung_nach_BK_Index.md;B-05–B-10;BK-1/BK-5;Welche Prüfbereiche gehören zu welchem Tabellenindex?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Zuordnung angelegt;Originalseiten und genaue Tabellenzeilen ergänzen
07_Schadensausgaben_BK_WW_Heizkosten.md;B-06/B-09;BK-1/BK-5;Welche Arbeitswerte und Widersprüche bestehen?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Arbeitsauswertung;Originalabrechnungen und Mietkonto abgleichen
08_Rechnungen_und_Einzelbetraege.md;B-03/B-09;BK-1;Welche Einzelbeträge sind belegt?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Register angelegt;Rechnungen, Zahlungsnachweise und Seiten eintragen
09_Beweislogik_und_Kausalzusammenhang.md;B-01–B-10;BK-1/BK-5;Wie wird die Kausalprüfung strukturiert?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Zusammenfassung;Querverweise und Primärbelege prüfen
10_Anlagenverzeichnis_mit_Direktlinks.md;--;--;Welche Anlagen sind direkt verknüpft?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Register;Commitgebundene Links ergänzen
11_Abschluss_und_offene_Pruefpunkte.md;--;--;Welche Punkte verhindern die Übergabe?;Repository-Datei, Commit ca595729fede5a04594e6c3cf680de19aad629f6;Checkliste offen;Nachweise, Hashes, Bescheide und fachkundige Prüfung ergänzen
